"ID","channel","PID_EB9","PID_AB3","PID_NSS","multicast_address","min_rate","max_rate","channel_function","Field9","Field10","Field11","Field12","Field13","Field14","Field15","Field16","Field17","Field18","Field19","Field20","Field21","Field22","Field23","Field24","Field25","Field26","Field27","Field28"
1,"TSL Announcement Channel",100.00,100.00,1921.00,"224.223.222.223:4711",400000.00,,"Announcement channel",,,,,,,,,,,,,,,,,,,,
2,"EUMETSAT Data Channel 1",500.00,,,"224.223.222.1:4811",855500.00,1710000.00,"EARS service",,,,,,,,,,,,,,,,,,,,
3,"EUMETSAT Data Channel 2",300.00,300.00,1922.00,"224.223.222.21:2511",1688000.00,1688000.00,"primary high rate SEVIRI",,,,,,,,,,,,,,,,,,,,
4,"EUMETSAT Data Channel 3",301.00,301.00,,"224.223.222.23:2611",385000.00,659000.00,"multi service Europe/Africa1",,,,,,,,,,,,,,,,,,,,
5,"EUMETSAT Data Channel 4",500.00,,,"224.223.222.27:2811",69000.00,1139600.00,"multi service Europe",,,,,,,,,,,,,,,,,,,,
6,"EUMETSAT Data Channel 5",500.00,,,"224.223.222.29:3111",1619000.00,1619000.00,"secondary high rate SEVIRI",,,,,,,,,,,,,,,,,,,,
7,"EUMETSAT Data Channel 6",500.00,,,"224.223.222.30:3211",114000.00,387000.00,"secondary meteorological products",,,,,,,,,,,,,,,,,,,,
8,"EUMETSAT Data Channel 7",509.00,,1923.00,"224.223.222.248:2480",3800.00,273000.00,"multi service Europe/Americas2",,,,,,,,,,,,,,,,,,,,
9,"EUMETSAT Data Channel 8",300.00,300.00,1922.00,"224.223.222.31:3311",3000.00,273000.00,"multi service Europe/Africa/Americas",,,,,,,,,,,,,,,,,,,,
10,"EUMETSAT Data Channel 9",301.00,301.00,,"224.223.222.251:2510",9000.00,46000.00,"DCP data",,,,,,,,,,,,,,,,,,,,
11,"EUMETSAT Data Channel 10",300.00,300.00,1922.00,"224.223.222.252:2520",43000.00,273000.00,"Jason data",,,,,,,,,,,,,,,,,,,,
12,"EUMETSAT Data Channel 11",300.00,300.00,1922.00,"224.223.222.253:2530",141000.00,399000.00,"CMA data",,,,,,,,,,,,,,,,,,,,
13,"EUMETSAT Data Channel 12",301.00,301.00,,"224.223.222.35:3711",3800.00,273000.00,"multi service Europe/Africa",,,,,,,,,,,,,,,,,,,,
14,"Info-Channel-1",100.00,100.00,1921.00,"224.223.222.34:3611",3000.00,273000.00,"static info, software updates",,,,,,,,,,,,,,,,,,,,
15,"Info-Channel-2",100.00,100.00,1921.00,"224.223.222.36:3811",3000.00,273000.00,"demo, training data",,,,,,,,,,,,,,,,,,,,
16,"BMD-RA-VI",500.00,,,"224.223.222.22:2911",292000.00,292000.00,"BMD RA-VI data",,,,,,,,,,,,,,,,,,,,
17,"DWDSAT",302.00,,,"224.223.222.25:2711",1750426.00,1750426.00,"DWDSAT service",,,,,,,,,,,,,,,,,,,,
18,"SAF-Europe",500.00,,,"224.223.222.28:3011",137000.00,410000.00,"SAF Europe",,,,,,,,,,,,,,,,,,,,
