ID,channel,PID_EB9,PID_AB3,PID_NSS,multicast_address,min_rate,max_rate,channel_function,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17,Field18,Field19,Field20,Field21,Field22,Field23,Field24,Field25,Field26,Field27,Field28
1,"TSL Announcement Channel",100,100,1921,"224.223.222.223:4711",400000,,"Announcement channel",,,,"","",,"","","","","","","","","","","","","",
2,"EUMETSAT Data Channel 1",500,,,"224.223.222.1:4811",855500,1710000,"EARS service",,,,"","",,"","","","","","","","","","","","","",
3,"EUMETSAT Data Channel 2",300,300,1922,"224.223.222.21:2511",1688000,1688000,"primary high rate SEVIRI",,,,"","",,"","","","","","","","","","","","","",
4,"EUMETSAT Data Channel 3",301,301,,"224.223.222.23:2611",385000,659000,"multi service Europe/Africa1",,,,"","",,"","","","","","","","","","","","","",
5,"EUMETSAT Data Channel 4",500,,,"224.223.222.27:2811",69000,1139600,"multi service Europe",,,,"","",,"","","","","","","","","","","","","",
6,"EUMETSAT Data Channel 5",500,,,"224.223.222.29:3111",1619000,1619000,"secondary high rate SEVIRI",,,,"","",,"","","","","","","","","","","","","",
7,"EUMETSAT Data Channel 6",500,,,"224.223.222.30:3211",114000,387000,"secondary meteorological products",,,,"","",,"","","","","","","","","","","","","",
8,"EUMETSAT Data Channel 7",509,,1923,"224.223.222.248:2480",3800,273000,"multi service Europe/Americas2",,,,"","",,"","","","","","","","","","","","","",
9,"EUMETSAT Data Channel 8",300,300,1922,"224.223.222.31:3311",3000,273000,"multi service Europe/Africa/Americas",,,,"","",,"","","","","","","","","","","","","",
10,"EUMETSAT Data Channel 9",301,301,,"224.223.222.251:2510",9000,46000,"DCP data",,,,"","",,"","","","","","","","","","","","","",
11,"EUMETSAT Data Channel 10",300,300,1922,"224.223.222.252:2520",43000,273000,"Jason data",,,,"","",,"","","","","","","","","","","","","",
12,"EUMETSAT Data Channel 11",300,300,1922,"224.223.222.253:2530",141000,399000,"CMA data",,,,"","",,"","","","","","","","","","","","","",
13,"EUMETSAT Data Channel 12",301,301,,"224.223.222.35:3711",3800,273000,"multi service Europe/Africa",,,,"","",,"","","","","","","","","","","","","",
