familyID,family,display_name
1,"AIDA","AIDA"
2,"BMD","Basic Meteorological Data (BMD)"
4,"DAILY_LOGS",""
5,"DCP","DCP Retransmissions (only for registered DCP operators)"
6,"DEVCOCAST_GENERAL",""
7,"EARS_ASCAT","EARS-ASCAT"
8,"EARS_ATOVS","EARS-ATOVS"
9,"EARS_AVHRR","EARS-AVHRR"
10,"ERS_SCAT","ERS-SCAT"
11,"EUM_MET_HIGH_VOL","Clear Sky Reflectance Map (high data volume product)"
12,"EUM_MET_PRODUCTS","Meteosat Meteorological Products"
13,"FSD_1_HOUR"," 1-hourly GOES & MT-SAT image data"
14,"FSD_3_HOUR"," 3-hourly GOES & MT-SAT image data"
15,"GNC_CN_CMA"," China Meteorological Administration (CMA) Products"
16,"HR_SEVIRI_QUARTER","High Rate SEVIRI Image Data 0º longitude: 1/4-hourly data transmissions **"
17,"IODC_HALF","High Resolution Image Indian Ocean Data Coverage: 1/2-hourly data transmissions"
18,"JASON","Jason/OSTM Products"
19,"LR_SEVIRI_HALF","Low Rate SEVIRI Image Data 0º longitude (near real time data):"
20,"LSA_SAF_PRODUCTS","Land Surface Analysis Applications (LSA-SAF Products)"
21,"MDD_ACMAD","Meteorological Data Dissemination"
22,"MDD_NOMINAL","Meteorological Data Dissemination"
23,"METOP_AMSUA","Metop AMSU_A"
24,"METOP_ASCAT","Metop ASCAT"
25,"METOP_ASCAT_SOMO","EUMETSAT Metop ASCAT Surface Soil Moisture"
26,"METOP_AVHRR","Metop AVHRR"
27,"METOP_GOME","Metop GOME"
28,"METOP_GRASS","Metop GRAS"
29,"METOP_HIRS","Metop HIRS"
30,"METOP_IASI","Metop IASI"
31,"METOP_MHS","Metop MHS"
32,"METOP_NOAA_ATOVS_SOUNDING_PRODUCTS","Metop/NOAA ATOVS Sounding Products"
33,"MODIS_GLOBAL_FIRE_PRODUCTS","MODIS Global Fire products"
34,"MODIS_POLAR_WINDS","MODIS Polar Winds"
35,"MSG_RSS","Meteosat Rapid Scanning Service (RSS) 9.5 degrees East **"
36,"NASA_SERVIR","NASA-SERVIR"
38,"NOAA_AMSU_A","NOAA AMSU_A"
39,"NOAA_AVHRR","NOAA AVHRR"
40,"NOAA_HIRS","NOAA HIRS"
41,"NOAA_MHS","NOAA MHS"
42,"NOT_DEFINED",""
43,"O3M_SAF","Ozone & Atmospheric Chemistry Applications (O3M-SAF Products)"
44,"SAF_GRAS","GRAS Meteorology (GRAS SAF)"
45,"SAF_OSI","Ocean & Sea Ice Applications (OSI-SAF Products)"
46,"VITO","VITO - VEGETATION products (restricted to African NMS and partner organisations)"
47,"HR_SEVIRI_HALF","High Rate SEVIRI Image Data 0º longitude: 1/2-hourly data transmissions **"
48,"HR_SEVIRI_1_HOUR","High Rate SEVIRI Image Data 0º longitude: 1-hourly data transmissions **"
49,"HR_SEVIRI_3_HOUR","High Rate SEVIRI Image Data 0º longitude: 3-hourly data transmissions **"
50,"HR_SEVIRI_6_HOUR","High Rate SEVIRI Image Data 0º longitude: 6-hourly data transmissions"
51,"LR_SEVIRI_1_HOUR","Low Rate SEVIRI Image Data 0º longitude (near real time data):"
53,"LR_SEVIRI_3_HOUR","Low Rate SEVIRI Image Data 0º longitude (near real time data):"
54,"LR_SEVIRI_6_HOUR","Low Rate SEVIRI Image Data 0º longitude (near real time data):"
55,"IODC_1_HOUR","High Resolution Image Indian Ocean Data Coverage: 1-hourly data transmission"
56,"IODC_3_HOUR","High Resolution Image Indian Ocean Data Coverage: 3-hourly data transmission"
57,"IODC_6_HOUR","High Resolution Image Indian Ocean Data Coverage: 6-hourly data transmission"
58,"TRIAL","Trial Products"
59,"ESSENTIAL",""
60,"MODIS_GLOBAL_OCEAN_COLOUR_PROD","MODIS Global Ocean Colour products"
61,"MODIS_THINNED","MODIS thinned level 1 products"
