RODDID,title,EUMETCast,MSGDirect,GTS,General_Comments,usingen_login,PN_db_comments,InternalID,acr,transfer_method,aka,source,category,channel,descKeyword_discipline,descKeyword_place,dissemination,msg_direct,hrpt_direct,filesize,OICD,formats,frequency,instrument,link_1,regular_expression,namingconvention,orbitType,parameter,provider,refFile,resolution,resources_1,person,sat,status
1,"1D-Var retrieval package","N","","","","","","EO:EUM:SW:MULT:035","1DRP","","","","Software ","","Software","","SAF Software ","","","0","","","","","NWP SAF Software http://nwpsaf.org","","","","Software ","NWP SAF","EO_EUM_SW_MULT_035.html",1,"NWP SAF http://www.metoffice.gov.uk/research/interproj/nwpsaf/","","Metop MSG NOAA","Operational"
2,"A-DCS AHRPT - Metop","N","","","","","","EO:EUM:DAT:METOP:ADCS-AHRPT","ADCS-AHRPT","","","","Satellite Data ","","Satellite Data","Full Global","Direct ","","Y","","","","","A-DCS ","Metop_Direct_Readout_Service http://www.eumetsat.int/Home/Main/Access_to_Data/Metop__amp__NOAA_Services/SP_1117714487826?l=en","","","LEO","Observation  Satellite_Data ","EUMETSAT","EO_EUM_DAT_METOP_ADCS-AHRPT.html",1,"EPS_Product_Guides http://www.eumetsat.int/Home/Main/Documentation/Technical_and_Scientific_Documentation/EPS_Product_Guides/index.htm?l=en","","Metop","Development"
3,"AFWA Snow Depth","Y","","","","gnc-us","","EO:EUM:DAT:MULT:SNWS","SNWS","","","","Land ","Americas-CH1 ","Land","GEONETCast ","EUMETCast-Europe  GEONETCast-Americas ","","","700.0 KB  700.0 KB ","","Native Binary ","1 (per day) ","","EO Portal Registration http://eoportal.eumetsat.int/userMgmt","","NPR.SNWS.SP.Dyyddd.Shhmm ","","Snow_and_Ice  Land ","NOAA","EO_EUM_DAT_MULT_SNWS.html",,"NOAA_NESDIS_Products http://www.nesdis.noaa.gov/sat-products.html","","Mult",""
4,"AMSU-A AHRPT - Metop","N","","","","","","EO:EUM:DAT:METOP:AMSU-AHRPT","AMSU-AHRPT","","","","Satellite Data  Atmosphere ","","Satellite Data","Global","Direct ","","Y","","","","","AMSU-A ","Metop_Direct_Readout_Service http://www.eumetsat.int/Home/Main/Access_to_Data/Metop__amp__NOAA_Services/SP_1117714487826?l=en","","","LEO","Observation  Satellite_Data  Atmosphere ","EUMETSAT","EO_EUM_DAT_METOP_AMSU-AHRPT.html",1,"Meteosat_Meteorological_Products http://www.eumetsat.int/Home/Main/Access_to_Data/Meteosat_Meteorological_Products/Product_List/index.htm?l=en","","Metop","Operational"
5,"AMSU-A GDS Level 1 - Metop","Y","","Y","","data","","EO:EUM:DAT:METOP:AMSUL1","AMSUL1","","","EUM-EPS","Satellite Data  Atmosphere ","EPS-2 ","Satellite Data","GEONETCast  Full Global","EUMETSAT Data Centre  GTS  EUMETCast-Europe ","","","3.0 MB  3.0 MB  3.0 MB  1.0 MB  26 KB  26 KB ","","BUFR ","15 (per day)  15 (per day)  15 (per day)  15 (per day) ","AMSU-A ","EUMETSAT Data Centre http://archive.eumetsat.int/umarf/Jnlp?acronym=AMSxxx1B","","amsua_20070630_223121_metopa_03612_eps_o.l1_bufr ","LEO","Observation  Satellite_Data  Atmosphere ","EUMETSAT","EO_EUM_DAT_METOP_AMSUL1.html",1,"EPS_Product_Guides http://www.eumetsat.int/Home/Main/Documentation/Technical_and_Scientific_Documentation/EPS_Product_Guides/index.htm?l=en","","Metop","Operational"
6,"AMSU-A GDS Level 1 - NOAA","Y","","","","data","","EO:EUM:DAT:NOAA:AMSU","AMSU","","","EUM-EPS","Satellite Data  Atmosphere ","EPS-13 ","Satellite Data","GEONETCast  Global","EUMETSAT Data Centre  EUMETCast-Europe ","","","3.0 MB  3.0 MB  3.0 MB  3.0 MB  1 MB ","","BUFR ","15 (per day)  15 (per day)  15 (per day)  15 (per day) ","AMSU-A ","EUMETSAT Data Centre http://archive.eumetsat.int/umarf/Jnlp?acronym=AMSxxx1B","","amsua_20080109_112820_noaa18_13594_eps_o.l1_bufr ","LEO","Observation  Satellite_Data  Atmosphere ","EUMETSAT","EO_EUM_DAT_NOAA_AMSU.html",1,"Technical_Documentation_-_NOAA_NESDIS http://www.ncdc.noaa.gov/oa/pod-guide/ncdc/docs/intro.htm","","NOAA","Operational"
7,"ASCAT AHRPT - Metop","N","","","","","","EO:EUM:DAT:METOP:ASCATAHRPT","ASCATAHRPT","","","","Satellite Data  Marine ","","Satellite Data","Global","Direct ","","Y","0","","","","ASCAT ","Metop_Direct_Readout_Service http://www.eumetsat.int/Home/Main/Access_to_Data/Metop__amp__NOAA_Services/SP_1117714487826?l=en","","","LEO","Observation  Satellite_Data  Marine ","EUMETSAT","EO_EUM_DAT_METOP_ASCATAHRPT.html",,"EPS_Product_Guides http://www.eumetsat.int/Home/Main/Documentation/Technical_and_Scientific_Documentation/EPS_Product_Guides/index.htm?l=en","","Metop","Operational"
8,"ASCAT GDS Level 1 normalised backscatter (12.5 km node grid)","Y","","Y","","data","","EO:EUM:DAT:METOP:ASCSZR1B","ASCSZR1B","","","EUM-EPS","Satellite Data  Marine ","EPS-3 ","Satellite Data","GEONETCast  Full Global","EUMETSAT Data Centre  GTS  EUMETCast-Europe ","","","25.0 MB  27.0 MB  200.0 KB  200.0 KB  740.0 KB ","","BUFR ","15 (per day)  15 (per day)  480 (per day)  480 (per day)  480 (per day) ","ASCAT ","EUMETSAT Data Centre http://archive.eumetsat.int/umarf/Jnlp?acronym=ASCSZR1B","","ascat_20070630_222400_metopa_03612_eps_o_125.l1_bufr  ASCA_SZR_1B_M02_20070630222400Z_20070630222658Z_N_O_20070701001421Z ","LEO","Observation  Wind  Satellite_Data  Marine ","EUMETSAT","EO_EUM_DAT_METOP_ASCSZR1B.html",,"ASCAT Product Guide http://oiswww.eumetsat.org/WEBOPS/eps-pg/ASCAT/ASCAT-PG-index.htm","","Metop","Operational"
9,"ASCAT GDS Level 1 normalised backscatter (25 km node grid)","Y","","Y","","data","","EO:EUM:DAT:METOP:ASCSZO1B","ASCSZO1B","","","EUM-EPS","Satellite Data  Marine ","EPS-3 ","Satellite Data","GEONETCast  Full Global","EUMETSAT Data Centre  GTS  EUMETCast-Europe ","","","6.0 MB  7.0 MB  200.0 KB  50.0 KB  180.0 KB ","","BUFR ","15 (per day)  15 (per day)  480 (per day)  480 (per day)  480 (per day) ","ASCAT ","EUMETSAT Data Centre http://archive.eumetsat.int/umarf/Jnlp?acronym=ASCSZO1B","","ascat_20070630_222400_metopa_03612_eps_o_250.l1_bufr  ASCA_SZO_1B_M02_20070630222400Z_20070630222656Z_N_O_20070701001421Z ","LEO","Observation  Wind  Satellite_Data  Marine ","EUMETSAT","EO_EUM_DAT_METOP_ASCSZO1B.html",,"ASCAT Product Guide http://oiswww.eumetsat.org/WEBOPS/eps-pg/ASCAT/ASCAT-PG-index.htm","","Metop","Operational"
10,"ASCAT GDS Level 1 normalised backscatter at full sensor resolution","N","","","","","","EO:EUM:DAT:METOP:ASCSZF1B","ASCSZF1B","","","","Satellite Data  Marine ","","Satellite Data","GEONETCast  Full Global","EUMETSAT Data Centre ","","","300.0 MB  300.0 MB ","","","15 (per day)  15 (per day) ","ASCAT ","EUMETSAT Data Centre http://archive.eumetsat.int/umarf/Jnlp?acronym=ASCSZR1B","","","LEO","Observation  Wind  Satellite_Data  Marine ","EUMETSAT","EO_EUM_DAT_METOP_ASCSZF1B.html",,"ASCAT Product Guide http://oiswww.eumetsat.org/WEBOPS/eps-pg/ASCAT/ASCAT-PG-index.htm","","Metop","Operational"
