serviceID,service_directory,channel
2,"aida-1-test",25
3,"channel-12-test-1",13
4,"channel-4-test",5
5,"channel-4-test-1",5
6,"channel-4-test-2",5
7,"channel-5-test",6
8,"channel-6-test",7
9,"channel-7-test",8
10,"channel-8-test-1",9
11,"channel-8-test-2",9
12,"dailylog-trial",15
13,"dbwinds-modis",5
14,"devcocast-1-test",23
15,"devcocast-1-trial",23
16,"devcocast-afr",23
17,"devcocast-sam",23
18,"devcocast-vgt-sam",23
19,"DWD-DWDintern",17
20,"DWD-ECM",17
21,"DWD-EUM",17
22,"DWD-GDS",17
23,"DWD-GME",17
24,"DWD-LM",17
25,"DWD-LMK",17
26,"DWD-MOS",17
27,"DWD-RAD",17
28,"DWD-RBSN",17
29,"DWD-SYN",17
30,"DWD-WAFS",17
31,"DWD-WWW",17
32,"ears",2
33,"ears-ascat",2
34,"ears-atovs",2
35,"ears-avhrr",2
36,"ears-ers-scat",2
37,"ears-iasi",2
38,"ears-test",2
39,"EPS-METOP-ADCS-L0",27
40,"EPS-METOP-AMSA-L0",28
41,"EPS-METOP-AMSA-L1",28
42,"EPS-METOP-ASCA-L0",29
43,"EPS-METOP-ASCA-L1",29
44,"EPS-METOP-ASCA-L2",29
45,"EPS-METOP-ATOV-L2",46
46,"EPS-METOP-AVHR-L0",36
47,"EPS-METOP-AVHR-L1",36
48,"EPS-METOP-GOME-L0",31
49,"EPS-METOP-GOME-L1",31
50,"EPS-METOP-GRAS-L0",32
51,"EPS-METOP-GRAS-L1",32
52,"EPS-METOP-HIRS-L0",33
53,"EPS-METOP-HIRS-L1",33
54,"EPS-METOP-HKTM-L0",38
55,"EPS-METOP-IASI-L0",37
56,"EPS-METOP-IASI-L1",37
57,"EPS-METOP-IASI-L2",37
58,"EPS-METOP-MHS-L0",34
59,"EPS-METOP-MHS-L1",34
60,"EPS-METOP-SEM-L0",35
61,"EPS-NOAA-AMSA-L1",39
62,"EPS-NOAA-ATOV-L2",46
63,"EPS-NOAA-AVHR-L1",41
64,"EPS-NOAA-COM",45
65,"EPS-NOAA-GAC-L0",41
66,"EPS-NOAA-HIRS-L1",42
67,"EPS-NOAA-MHS-L1",43
68,"EPS-SERVICE",44
69,"EPS-TEST",45
70,"geonetcast-test",22
71,"gnc-cn-cma",12
72,"gnc-eum-csir",25
73,"gnc-eum-dmi",23
74,"gnc-eum-inpe",23
75,"gnc-eum-pml",23
76,"gnc-eum-saws",13
77,"gnc-eum-tamsat",13
78,"gnc-eum-tamsat-test",13
79,"gnc-eum-vito",23
80,"gnc-us-epa",22
81,"gnc-us-inpe",9
82,"gnc-us-noaa-nesdis",22
83,"gnc-us-ranet",24
84,"gnc-us-ranet-test",24
85,"gnc-us-servir",22
86,"gnc-us-test",22
87,"hrit-test",3
88,"info-1",14
89,"info-2",14
90,"info-3",14
91,"ipps",15
92,"jason",11
93,"jason-low",11
94,"jason-test",11
95,"jason-trial",11
96,"lrit-test",4
97,"lrit-test-1",4
98,"lrit-test-2",4
99,"lrit-test-3",4
100,"mdd-acmad",4
101,"mdd-acmad-low",4
102,"mdd-com-acmad",7
103,"mdd-com-nominal",7
104,"mdd-nominal",4
105,"mdd-nominal-low",4
106,"mdd_5",4
107,"modis-fire",13
108,"modis-l1",5
109,"msg-com-hrit-15m",6
110,"msg-com-hrit-30m",6
111,"msg-com-hrit-3h",6
112,"msg-com-hrit-60m",6
113,"msg-com-hrit-6h",6
114,"msg-com-lrit-30m",7
115,"msg-com-lrit-3h",7
116,"msg-com-lrit-60m",7
117,"msg-com-lrit-6h",7
118,"msg-com-lrit-dcp",7
119,"msg-com-lrit-fsd",7
120,"msg-com-lrit-mpef",7
121,"msg-com-lrit-mpef-CRM",7
122,"msg-com-lrit-mpef-low",7
123,"msg-hrit-15m",3
124,"msg-hrit-30m",3
125,"msg-hrit-3h",3
126,"msg-hrit-60m",3
127,"msg-hrit-6h",3
128,"msg-lrit-30m",4
129,"msg-lrit-3h",4
130,"msg-lrit-60m",4
131,"msg-lrit-6h",4
132,"msg-lrit-dcp",10
133,"msg-lrit-dcp-test",10
134,"msg-lrit-fsd",4
135,"msg-lrit-fsd-60m",5
136,"msg-lrit-fsd-sam",8
137,"msg-lrit-mpef",4
138,"msg-lrit-mpef-CRM",4
139,"msg-lrit-mpef-eur",5
140,"msg-lrit-mpef-eur-low",5
141,"msg-lrit-mpef-low",4
142,"msg-lrit-mpef-sam",8
143,"msg-lrit-mpef-sam-low",8
144,"msg-rss-lrit-mpef",7
145,"msg-rss-lrit-mpef-low",7
146,"msg-rss-seviri",6
147,"mtp-iodc-30m",4
148,"mtp-iodc-3h",4
149,"mtp-iodc-60m",4
150,"mtp-iodc-6h",4
151,"ninjo-aux",17
152,"ninjo-gme",17
153,"ninjo-lme",17
154,"ninjo-ptp",17
155,"ninjo-radar",17
156,"ocean-modis",8
787,"SAF-Africa-test",20
788,"SAF-Americas-test",19
789,"SAF-Europe-test",18
790,"SAF-Global-test",21
791,"SAF-GRAS-eur",18
792,"SAF-GRAS-eur-test",18
793,"SAF-LSA",20
794,"SAF-LSA-15m",20
795,"SAF-LSA-afr",20
796,"SAF-LSA-afr-15m",20
797,"SAF-LSA-afr-test",20
798,"SAF-LSA-afr-trial",20
799,"SAF-LSA-eur",18
