serviceID,familyID
41,23
61,38
43,24
33,7
44,25
816,45
45,32
32,8
47,26
63,39
120,12
141,12
143,12
71,15
827,2
828,2
138,11
137,12
142,12
132,5
795,20
804,20
799,20
36,10
17,6
134,14
135,13
49,27
51,28
53,29
56,30
57,30
92,18
93,18
16,6
59,31
67,41
72,1
85,36
107,33
104,22
105,22
100,21
106,22
147,17
149,55
148,56
150,57
147,55
147,56
147,57
149,56
149,57
148,57
123,16
124,16
124,47
126,16
126,47
126,48
125,16
125,47
125,48
125,49
127,16
127,47
127,48
127,49
127,50
128,19
130,19
130,51
129,19
129,51
129,53
131,19
131,51
131,53
131,54
809,43
791,44
825,46
4,33
144,12
146,35
145,12
139,12
136,14
101,21
62,32
822,59
35,9
13,34
156,60
108,61
66,40
